NAME,TYPE,Rah,_m,_s,RA,DEd,_m_,s,Dec,GLON,GLAT,Pos,e_Pos,Opt,r_Opt,A,Vmag,B,Vmag1,u_vm,ag,B-V,u_B-V,C,D,E,U-B,F,G,r_Fx,H,porb,r_Ppu,lse,cat,Name3
0042+323,T,0,44,50.4,0:44:50.4,33,1,17,33:1:17,121.3,-29.8,x,60,*3,[168,],19.3,NaN,0.6,NaN,NaN,0.2,,[168,],<,0.5,-,55,[103,],,NaN,NaN,"U,M,A,AS,R,B,X",XN Per 1992
J0422+32,T,4,18,29.9,4:18:29.9,32,47,24,32:47:24,197.3,-11.9,"o,r",,,,,13.2,,0.3,-0.5,,-0.23,0.4,"[1151,1158,1159",],,3000,,(20-300keV),"[433,991",],5.1,"[125,150,664,",980],"C,Gr,R,K,AS,X",
0512-401,GB,5,14,6.6,5:14:6.6,-40,2,37,-40:2:37,244.5,-35,x,2,NGC1851,[475,],,,,,,0.1,:,[2,],,3,-,6,"[124,999,1366",],,,,"U,M,A,H,G,Exo",
0521-720,Z?,5,20,29.2,5:20:29.2,-71,57,36,-71:57:36,283.1,-32.7,o,3,*22,[637,],18,-19,0,-0.8,,0.1,,"[121,260,778",],,9,-,44,[103,],8.16,"[121,1173",],"U,M,A,H,X,R",LMC X-2
J0532.7-6926,,5,32,42.8,5:32:42.8,-69,26,18,-69:26:18,279.9,-32.1,x,3.9,,,,,,,,,,,,,,0.5,,,[484,],,,,R,
0614+091,AB,6,17,7.3,6:17:7.3,9,8,13,9:8:13,200.9,-3.4,o,,V1055 Ori,"[323,447",],18.5,,0.3,-0.5,,0.3,,[287,],,50,,,"[1399,1448",],,,,"U,M,A,H,S,Gr,E,Exo,X,B",
0620-003,TU,6,22,44.5,6:22:44.5,0,20,45,0:20:45,210,-6.5,o,,V616 Mon,"[331,447",],11.2,,0.2,-0.8,,0.4,,[1407,],<,0.02,-,50000,"[774,1407",],7.75,[857,],"A,S,R",N Mon 1975
0656-072,T,6,58,27,6:58:27,-7,15,50,-7:15:50,220.2,-1.7,x,180,,,,,,,,,,,,,,20,-,80,"[143,215,656",],,,,A,
0748-676,TBD,7,48,33.8,7:48:33.8,-67,45,9,-67:45:9,280,-19.3,o,,UY Vol,[1262,],16.9,-17.5,0.1,-0.9,,0.42,,"[1125,1128",],,0.1,-,60,[443,],3.82,"[998,1001",],"Exo,AS,R,G,X",
J0835.9+5118,TB,8,35,56,8:35:56,51,18,36,51:18:36,167.5,36.9,x,180,,,,,,,,,,,,,<,6,,,[399,],,,,B,
0836-429,TB,8,37,23,8:37:23,-42,53,9,-42:53:9,261.9,-1.1,x,60,,[72,],,,,,,,,,,,1,-,55,"[230,511,794",],,,,"U,M,Gr,G,R",
0918-549,,9,20,26.8,9:20:26.8,-55,12,24,-55:12:24,275.9,-3.8,x,5,*X,[187,],21,,0.3,-0.9,,0.3,,"[187,1348",],,10,,,[187,],,,,"U,M,A,H,S",
0921-630,D,9,22,34.7,9:22:34.7,-63,17,42,-63:17:42,281.8,-9.3,o,,V395 Car,[760,],15.3,,0.6,-0.5,,0.2,,"[113,186,847,1348",],,3,,,"[760,847",],216.2,"[846,847",],"A,S,Exo",
1009-45,TU,10,13,36,10:13:36,-45,4,35,-45:4:35,275.4,9.4,o,,*1,"[306,1140",],14.71,,0.13,,,0.2,,[306,],,800,,(1-10keV),[1263,],,,,"C, AS, Gr",XN Vel 1993
J1118+480,TA?,11,18,10.85,11:18:10.85,48,2,12.9,48:2:12.9,157.6,62.3,o,0.2,*1,[1312,],12.25,-18.8,,,<,0.024,,"[410,1312",],,40,,(2-12keV),[1084,],4.1,"[232,1312",],"AS,X,C",
1124-684,TU,11,26,26.7,11:26:26.7,-68,40,33,-68:40:33,295,-6.1,o,,,[303,],13.6,,0.3,,,0.25,,"[303,435",],<,4,-,3000,"[1235,1241",],10.4,"[27,867,1075",],"Gr,G,C",N Mus 1991
1254-690,BD,12,57,37.2,12:57:37.2,-69,17,21,-69:17:21,303.5,-6.4,o,,GR Mus,[463,],19.1,,0.3,,,0.35,,[927,],,25,,,[247,],3.93,"[247,927",],"U,M,A,H,S,X,G",
1323-619,BD,13,26,36.1,13:26:36.1,-62,8,10,-62:8:10,307.1,0.2,x,3,,[1000,],,,,,~,5,:,[1000,],,7,,,"[1000,1399",],2.93,[1000,],"U,M,A,B",
1354-645,TU,13,58,9.7,13:58:9.7,-64,44,5,-64:44:5,310,-2.8,o,,BW Cir,[678,],16.9,,1.1,-0.1,~,1,:,[678,],,5,-,120,"[678,1135",],,,,"M,G,X",Cen X-2      ?
1455-314,TB,14,58,22,14:58:22,-31,40,8,-31:40:8,332.2,23.9,o,,V822 Cen,[141,],12.8,,0.05,-0.9,,0.1,,"[84,141",],,0.1,-,20000,"[231,1350",],15.1,"[196,254,858",],"V,A,Ha,AS,B,R",Cen X-4
1516-569,TBA,15,20,40.9,15:20:40.9,-57,10,1,-57:10:1,322.1,0,r,,BR Cir,[916,],21.4,,,,>,1,,"[916,1216",],,5,-,3000,[103,],398.4,[655,],"U,M,A,H,S,AS,X",Cir X-1
1524-617,TU,15,28,17.2,15:28:17.2,-61,52,58,-61:52:58,320.3,-4.4,o,3,KY TrA,[940,],,,,,,0.7,,[940,],<,5,-,950,[103,],,,,"A,S,R.Gr","TrA X-1       , *N"
1543-475,TU,15,47,8.6,15:47:8.6,-47,40,10,-47:40:10,330.9,54,o,,star,[183,],14.9,,0.6,,,0.7,,"[1025,1340",],<,1,-,15000,"[103,676",],26.95,[984,],"U,M,T,C",
1543-624,,15,47,54.8,15:47:54.8,-62,34,5,-62:34:5,321.8,-6.3,o,,*6,[8,],,,,,,0.5,,[860,],,35,,,[1399,],,,,"U,M,A,H,S,Exo",
J1550-564,T,15,50,58.78,15:50:58.78,-56,28,35,-56:28:35,325.9,-1.8,o,2,,[630,],16.6,-21.4,1.35,,,-0.7,1.6,"[629,630,1114",],,600,-,7000,"[272,1080",],36.96,[631,],"X,AS,C",
1556-605,,16,1,2.3,16:1:2.3,-60,44,17,-60:44:17,324.1,-5.9,o,,LU TrA,[928,],18.6,-19.2,0.45,-0.7,,0.6,,"[928,1127",],,16,,,"[928,1399",],9.1          :,[1170,],"U,M,A,H,S",*X
1603.6+2600,,16,5,45.8,16:5:45.8,25,51,45,25:51:45,42.8,46.8,o,,UW CrB,[488,],19.7,,,,<,0.1,,[921,],,0.15,,(0.3-3.2keV),[921,],1.85,[921,],"E,R",
J1603.9-7753,TB,16,3,54,16:3:54,-77,53,6,-77:53:6,312.4,-18.7,x,180,,,,,,,,,,,,,,160,,,[933,],,,,B,
1608-522,TBA,16,12,43,16:12:43,-52,25,23,-52:25:23,330.9,-0.9,o,,QX Nor,"[470,1382",],,,,,,1.5,,"[470,1028",],<,1,-,110,[103,],,,,"U,M,H,S,AS,C,X",
1617-155,Z,16,19,55.1,16:19:55.1,-15,38,25,-15:38:25,359.1,23.8,o,,V818 Sco,"[447,1115",],12.2,,0.2,-0.8,,-0.15,0.3,"[397,537,1379",],,14000,,,[1399,],18.9,"[442,727",],"U,M,A,H",Sco X-1
1624-490,D,16,28,2.4,16:28:2.4,-49,11,25,-49:11:25,334.9,-0.3,x,12,,[1072,],,,,,~,7,,[1404,],,55,,,[1399,],21,[640,],"U,M,A,H,S,X,B",
1627-673,P,16,32,16.8,16:32:16.8,-67,27,43,-67:27:43,321.8,-13.1,o,,KZ TrA,"[105,633",],18.5,,0.1,-1.2,,0.1,,"[861,1348",],,25,,,[872,],0.69,"7.7      [891,943",],"U,M,A,H,S,B,R,AS,C,X,Exo",*4
1630-472,TUD,16,34,0.4,16:34:0.4,-47,23,39,-47:23:39,336.9,0.3,x,10,,[997,],,,,,,4.5,,[997,],<,2,-,1400,[103,],,,,"U,M,A,C,X,B,G,E",
1632-477,,16,36,28,16:36:28,-47,49,37,-47:49:37,336.9,-0.4,x,66,,,,,,,,,,,,,,13,,,[611,],,,,K,
1636-536,BA,16,40,55.5,16:40:55.5,-53,45,5,-53:45:5,332.9,-4.8,o,,V801 Ara,[633,],17.5,,0.7,-0.7,,0.8,,"[730,861",],,220,,,[1399,],3.8,[1354,],"U,M,A,H,S,X,Exo",*3
1642-455,Z,16,45,47.7,16:45:47.7,-45,36,40,-45:36:40,339.6,-0.1,r,,,[8,],,,,,1,2,:,[527,],,500,,,[1399,],,,,"U,M,A,H,S,X",GX 340+0
J1655-40,TD,16,54,0.137,16:54:0.137,-39,50,44.9,-39:50:44.9,345,2.5,o,,*1,"[30,1324",],14.2,-17.3,1,,,-1.1,1.3,"[30,593",],,1600,,(2-12keV),[1076,],62.88,"[30,1323",],"C,AS,X,R,Gr",XN Sco 1994
1656+354,P,16,57,49.8,16:57:49.8,35,20,33,35:20:33,58.2,37.5,o,,HZ Her,"[326,447",],13,-14.6   -,0.2,-0.9,<,0.05,,"[100,483",],,15,-,50,"[872,1448",],40.8,"1.24     [297,943",],"U,M,A,H,G,X,B,AS",Her X-1
1658-298,TBD,17,2,6.3,17:2:6.3,-29,56,45,-29:56:45,353.8,7.3,o,,V2134 Oph,[330,],18.3,,0.45,-0.4,,0.3,,"[330,954",],<,5,-,80,[103,],7.11,[228,],"A,H,X",*T
1659-487,TU,17,2,49.5,17:2:49.5,-48,47,23,-48:47:23,338.9,-4.3,o,,V821 Ara,"[122,330",],15.5,,0.8,-0.1,,1.1,,"[252,800,1348",],,1.5,-,900,"[603,912",],14.83,"[122,582",],"U,M,A,H,K,B,X,C","GX339-4       , *V"
1702-363,Z,17,5,44.5,17:5:44.5,-36,25,22,-36:25:22,349.1,2.7,r,,*6,"[234,1026",],18.6,,1.5,,,1.3,:,"[234,1026",],,825,,,[1399,],21.85    -22.5,"[55,1383,1384",],"U,M,A,H,S,X",GX349+2
1702-429,BA,17,6,15.3,17:6:15.3,-43,2,10,-43:2:10,343.9,-1.3,x,5,,[527,],,,,,,2.5,,[527,],,45,,,"[634,970",],,,,"U,M,S,X",
1704+240,,17,6,34.6,17:6:34.6,23,58,18,23:58:18,45.2,33,o,,HD 154791,[403,],7.8,,1.3,2.1,,0.3,,[403,],<,0.5,-,11,[103,],,,,"A,H,R",
1705-250,T,17,8,14.6,17:8:14.6,-25,5,29,-25:5:29,358.2,9.1,o,2,V2107 Oph,[462,],15.9,,0.6,,,0.5,,[462,],<,2,-,3600,[103,],12.5,"[366,1077",],"A,H",N Oph 1977
1705-440,BA,17,8,54.7,17:8:54.7,-44,6,2,-44:6:2,343.8,-2.3,x,13,,[1072,],,,,,,2,:,[722,],,10,-,280,"[722,1399",],,,,"U,M,A,S",
1708-408,,17,12,23,17:12:23,-40,50,36,-40:50:36,346.3,-0.9,x,60,,,,,,,,,,,,,,32,,,[611,],,,,"U,M,A,H",
J1709-267,TB,17,9,30.2,17:9:30.2,-26,39,27,-26:39:27,357.5,7.9,x,120,,,,,,,,,,,,,,150,,,[825,],,,,"X,R,B",
J1710-281,TB(?),17,10,12.3,17:10:12.3,-28,7,54,-28:7:54,356.4,6.9,x,,,,,,,,,,,,,,,2,,,[816,],,,,"X,R",
1711-339,T,17,14,19.2,17:14:19.2,-34,2,58,-34:2:58,352.1,2.7,x,40,,[453,],,,,,,,,,,,16,-,130,[103,],,,,"H,S,R",
J1712.6-3739,TB,17,12,34,17:12:34,-37,38,36,-37:38:36,348.9,0.94,x,180,,,,,,,,,,,,,,34,,(2-9keV),[619,],,,,B,
1715-321,B,17,18,47.4,17:18:47.4,-32,10,40,-32:10:40,354.1,3.1,x,23,,[1072,],,,,,,,,,,,28,,,"[812,814,1399",],,,,"M,A,H,S",
1716-249,T,17,19,36.9,17:19:36.9,-25,1,3,-25:1:3,359.8,7.6,r,0.5,V2293 Oph,"[305,838",],16.65,-21,0.9,,,0.9,,[305,],,1500,,(20-100keV),[501,],14.7,[838,],"Gr,K,C,AS",XN Oph 1993
J171824.2-402934,B,17,18,24.13,17:18:24.13,-40,29,30.4,-40:29:30.4,347.3,-1.6,x,15.7,,[931,],,,,,,,,,,,1400,,,[662,],,,,"R,B",
J1723-376,TB,17,23,38,17:23:38,-37,39,42,-37:39:42,350.2,-0.86,x,30,,,,,,,,,,,,,,70,,,[821,],,,,"X,AS",
1724-356,,17,27,39,17:27:39,-35,44,4,-35:44:4,352.2,-0.5,x,78,,,,,,,,,,,,,,32,,,[611,],,,,K,
1724-307,GBA,17,27,33.2,17:27:33.2,-30,48,7,-30:48:7,356.3,2.3,x,3,Ter 2,[475,],,,,,,1.4,,"[10,803",],,15,,,"[999,1366",],,,,"E,X,AS,B,R",
1728-337,BA,17,31,57.4,17:31:57.4,-33,50,5,-33:50:5,354.3,-0.2,x,5,,[469,],,,,,,3.5,:,[527,],,150,,,"[1366,1399",],,,,"U,M,A,H,S,C,X",GX 354-0
1728-169,A,17,31,44.2,17:31:44.2,-16,57,42,-16:57:42,8.5,9,o,,V2216 Oph,"[328,447",],16.8,,0.3,-0.7,,0.3,,"[954,1123",],,300,,,[1399,],4.2,"[529,1123",],"U,M,A,H,S",GX 9+9
1728-247,P,17,32,2.2,17:32:2.2,-24,44,44,-24:44:44,1.9,4.8,o,,V2116 Oph,[328,],19,,,,,1.7,P,"[288,289",],,100,,,[1399,],340.           d,"114.       [276,943",],"U,M,A,H,S","GX 1+4        , *GF"
1730-312,T,17,33,32,17:33:32,-31,13,0,-31:13:0,356.3,1.6,x,120,,,,,,,,,,,,,,900,,,[94,],,,,"K,Gr",
1730-335,GBT,17,33,24.1,17:33:24.1,-33,23,16,-33:23:16,354.8,-0.2,x,3,Lil 1,"[475,767",],,,,,,3,:,"[10,803",],<,0.1,-,200,"[465,1215",],,,,"S,X,AS,Exo",Rapid Burster
1730-220,T,17,33,57,17:33:57,-22,2,7,-22:2:7,4.5,5.9,x,102,,,,,,,,,,,,,<,10,-,130,[230,],,,,U,
1731-260,BT,17,34,13,17:34:13,-26,5,9,-26:5:9,1.1,3.6,x,60,,"[51,182",],,,,,,3.2,:,[1230,],<,10,-,110,[1230,],,,,"K,X,Gr,R",
1732-304,GB,17,35,47.6,17:35:47.6,-30,28,56,-30:28:56,357.6,0.9,x,8,Ter 1,[797,],,,,,,-1.5,2.48,"[10,988,1405",],,10,,,"[999,1166,1366",],,,,"Ha,B,Gr,H,R,Exo",
1732-273,TU,17,36,2,17:36:2,-27,25,33,-27:25:33,0.1,6  +2.59,x,60,,[182,],,,,,,,,,,<,5,-,50,"[612,792",],,,,"K,G",
1734-292,,17,37,25,17:37:25,-29,10,48,-29:10:48,358.8,4  +1.4,x,60,,[182,],,,,,,,,,,,3.4,,,[1019,],,,,Gr,
1735-269,B,17,38,16,17:38:16,-27,0,16,-27:0:16,0.7,8  +2.40,x,120,,,,,,,,,,,,,,10,,,[1166,],,,,"SL,X,R,AS,B",
1735-444,BA,17,38,58.3,17:38:58.3,-44,27,0,-44:27:0,346.1,-7,o,,V926 Sco,[633,],17.5,,0.2,-0.8,,0.15,,"[492,633,1348",],,160,,,[1399,],4.65,[1319,],"U,M,A,H,S,B,X",*5
1735-28,T,17,38,34,17:38:34,-28,29,0,-28:29:0,359.6,1.56,x,420,,,,,,,,,,,,,<,0.4,-,565,"[230,1166",],,,,"U,M",
1736-297,,17,39,33,17:39:33,-29,43,26,-29:43:26,358.6,3  +0.7,x,60,,[182,],,,,,,,,,,,2,,,[725,],,,,Gr,
1737-31,T,17,39,56,17:39:56,-30,59,0,-30:59:0,357.3,0.58,x,180,,,,,,,,,,,,,,26,,,[822,],,,,"Gr,C,X,AS,B",
1737-282,,17,40,57,17:40:57,-28,18,36,-28:18:36,0,1  +1.2,x,180,,,,,,,,,,,,,,3,,,[1166,],,,,SL,
1739-278,T,17,42,37,17:42:37,-27,46,59,-27:46:59,0.6,6  +1.17,x,180,,[831,],23.2,,,,~,4,,"[459,831",],,860,,(2-60keV),[1258,],,,,"Gr,K,X,R",
1739-304,,17,42,44,17:42:44,-30,30,51,-30:30:51,358.3,3  -0.3,x,96,,,,,,,,,,,,,,9,,,[611,],,,,K,
1740-294,T(?),17,43,47,17:43:47,-29,26,0,-29:26:0,359.3,6  +0.1,x,72,,,,,,,,,,,,,,30,,,[262,],,,,,GC X-4
1740.7-2942,,17,43,54.7,17:43:54.7,-29,44,43,-29:44:43,359.1,2  -0.1,x,12,,"[734,882,1  169",],,,,,,,,,,,4,-,30,"[1166,1168,1233",],,,,"E,X,C,R,AS,Gr",
1741.2-2859,,17,44,25.4,17:44:25.4,-29,0,45,-29:0:45,359.8,0.18,x,60,,,,,,,,,,,,,<,1.5,-,300,[909,],,,,G,
1741-293,TB,17,44,49,17:44:49,-29,21,6,-29:21:6,359.5,-0.07,x,60,,[182,],,,,,,,,,,<,5,-,26,[612,],,,,"K,B,X",MXB1743-29   ?
1741-322,TU,17,45,2,17:45:2,-32,13,38,-32:13:38,357.1,-1.6,x,20,,,,,,,,,,,,,<,2,-,770,"[103,1168,1448",],,,,H,
1741.9-2853,TB,17,45,1,17:45:1,-28,54,6,-28:54:6,356,0.13,x,45,,[182,],,,,,,,,,,,7,,,[1233,],,,,"Gr,B",
1742-326,,17,45,29,17:45:29,-32,41,39,-32:41:39,356.8,-1.9,x,540,,,,,,,,,,,,,<,2,-,3,"[1168,1400",],,,,Exo,
1742.2-2857,,17,45,26.6,17:45:26.6,-28,59,0,-28:59:0,359.9,0.01,x,60,,[1403,],,,,,,,,,,,0.1,,(0.9-4.0keV),[1403,],,,,E,
1742-294,B(T?),17,45,37,17:45:37,-29,27,0,-29:27:0,359.5,6  -0.26,x,180,,,,,,,,,,,,,,45,,,[262,],,,,"A,S,AS,Gr,E,K",GC X-2
1742-289,TB(?),17,45,37,17:45:37,-29,1,7,-29:1:7,359.9,0,r,3,,[1403,],,,,,,,,[,],<,9,-,2000,[103,],,[,],A,
1742.5-2859,,17,45,40.7,17:45:40.7,-29,0,11,-29:0:11,359.9,5  -0.05,x,60,,[1403,],,,,,,,,[,],,1,-,5,"[1166,1233,1403",],,[,],"E,R",
1742.5-2845,,17,45,42.9,17:45:42.9,-28,46,53,-28:46:53,0.1,4  +0.06,x,60,,[1403,],,,,,,,,[,],,0.15,-,26.   (0.9-4.0 keV),[1403,],,[,],E,
1742.7-2902,,17,45,52.9,17:45:52.9,-29,3,22,-29:3:22,359.9,-0.11,x,60,,[1403,],,,,,,,,[,],,0.2,,(0.9-4.0 keV),[1403,],,[,],E,
1742.8-2853,,17,46,0,17:46:0,-28,54,49,-28:54:49,0,6  -0.06,3  x,60,,[1403,],,,,,,,,[,],,0.2,,(0.9-4.0 keV),[1403,],,[,],E,
1742.9-2852,,17,46,4.9,17:46:4.9,-28,53,13,-28:53:13,0,9  -0.06,x,60,,[1403,],,,,,,,,[,],,0.2,,(0.9-4.0 keV),[1403,],,[,],E,
1742-294,B,17,46,6.2,17:46:6.2,-29,31,6,-29:31:6,359.5,6  -0.39,x,60,,[634,],,,,,,,,[,],,60,-,180,"[1166,1233,1399",],,[,],"A,Gr",GC X-1
1742.9-2849,,17,46,9.7,17:46:9.7,-28,51,4,-28:51:4,0.1,3  -0.06,26 x,60,,[1403,],,,,,,,,[,],,0.2,,(0.9-4.0 keV),[1403,],,[,],E,
1743.1-2843,,17,46,19.2,17:46:19.2,-28,44,7,-28:44:7,0.2,5  -0.03,x,60,,[1403,],,,,,4,5,:,[1233,],,0.5,-,12,"[1166,1233,1403",],,[,],"E,AS,B",
1743.1-2852,,17,46,19.5,17:46:19.5,-28,53,43,-28:53:43,0.1,1  -0.11,x,60,,[1403,],,,,,,,,[,],,0.2,,(0.9-4.0 keV),[1403,],,[,],E,
1743-288,TB,17,46,47,17:46:47,-28,53,41,-28:53:41,0.2,1  -0.25,x,120,,[1403,],,,,,,,,[,],<,1,-,40,"[262,1064,1166,1403",],,[,],"A,B,X","GX+0.2,-0.2"
1744-299,,17,47,25.7,17:47:25.7,-29,59,43,-29:59:43,359.3,-0.89,x,60,,[,],,,,,>,7.5,:,[1168,],,6,,,[1168,],,[,],"SL,B",
J1744-28,TBP,17,44,33.1,17:44:33.1,-28,44,29,-28:44:29,0,4  +0.31,x,10,,[  19,],,,,,,,,[,],,4700,,(8-20 keV),[1120,],284.02,0.467    [367,],"C,K,AS,X,Gr",
1744-300,B,17,47,25.9,17:47:25.9,-30,2,31,-30:2:31,359.2,6  -0.9,x,60,,[,],,,,,>,7.5,:,[1168,],,4,,,[1168,],,[,],"SL,B",
1744-265,BA,17,47,56,17:47:56,-26,33,49,-26:33:49,2.3,0.8,x,3,,[1072,],,,,,,3.7,,[527,],,400,,,[1399,],,[,],"U,M,A,H,S,G,X",GX3+1
1744-361,T,17,48,13.4,17:48:13.4,-36,7,53,-36:7:53,354.1,-4.2,x,40,,[,],,,,,,,,[,],<,25,-,275,[103,],,[,],A,
J1745.6-2901,TB,17,45,36,17:45:36,-29,1,34,-29:1:34,359.9,-0.03,5  x,25,,[,],,,,,,,,[,],,0.4,-,2.   (3-10 keV),[788,],8.4,[788,],"AS,B",
